No;ID_cliente;Departamento ;Sexo;Jubilado;Socio;Empleado;Meses_alta;Servicio_telefonico;Lineas_multiples;Servicio_Internet;Seguridad_Online;CopiaSeguridad_Online;Proteccion_dispositivo;Soporte_tecnico;Television_carta;Peliculas_carta;Contrato;Factura_digital;Metodo_pago;Gasto_mensual;Gasto_total;Abandono;meses_alta_cut
11;9763-GRSKD;Huila;Male;0;Yes;Yes;13;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;49.95;587.45;No;jun-18
12;7469-LKBCI;Vaupés;Male;0;No;No;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);18.95;326.8;No;jun-18
13;8091-TTVAX;Santander;Male;0;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);100.35;5681.1;No;42-60
14;0280-XJGEX;Santander;Male;0;No;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103.7;5036.3;Yes;42-60
15;5129-JLPIS;Huila;Male;0;No;No;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;105.5;2686.05;No;18-42
16;3655-SNQYZ;Santander;Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);113.25;7895.15;No;60+
17;8191-XWSZG;Guainía;Female;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.65;1022.95;No;42-60
18;9959-WOFKT;Atlántico;Male;0;No;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);106.7;7382.25;No;60+
19;4190-MFLUW;Boyacá;Female;0;Yes;Yes;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);55.2;528.35;Yes;jun-18
20;4183-MYFRB;Valle del Cauca;Female;0;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;90.05;1862.9;No;18-42
21;8779-QRDMV;Amazonas;Male;1;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;39.65;39.65;Yes;<1
22;1680-VDCWW;Vaupés;Male;0;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19.8;202.25;No;jun-18
23;1066-JKSGK;Amazonas;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.15;20.15;Yes;<1
24;3638-WEABW;Bogotá;Female;0;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);59.9;3505.1;No;42-60
25;6322-HRPFA;Vichada;Male;0;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);59.6;2970.3;No;42-60
26;6865-JZNKO;Valle del Cauca;Female;0;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);55.3;1530.6;No;18-42
27;6467-CHFZW;Antioquia;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.35;4749.15;Yes;42-60
28;8665-UTDHZ;Bogotá;Male;0;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30.2;30.2;Yes;<1
29;5248-YGIJN;Vichada;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);90.25;6369.45;No;60+
30;8773-HHUOZ;Huila;Female;0;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;64.7;1093.1;Yes;jun-18
31;3841-NFECX;Antioquia;Female;1;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);96.35;6766.95;No;60+
32;4929-XIHVW;Valle del Cauca;Male;1;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);95.5;181.65;No;1-jun
33;6827-IEAUQ;Antioquia;Female;0;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;66.15;1874.45;No;18-42
34;7310-EGVHZ;Amazonas;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20.2;20.2;No;<1
35;3413-BMNZE;Bogotá;Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);45.25;45.25;No;<1
36;6234-RAAPL;Huila;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);99.9;7251.7;No;60+
37;6047-YHPVI;Bogotá;Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.7;316.9;Yes;1-jun
38;6572-ADKRS;Valle del Cauca;Female;0;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);74.8;3548.3;No;42-60
39;5380-WJKOV;Atlántico;Male;0;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106.35;3549.25;Yes;18-42
40;8168-UQWWF;Atlántico;Female;0;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);97.85;1105.4;Yes;jun-18
41;8865-TNMNX;Antioquia;Male;0;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;49.55;475.7;No;jun-18
42;9489-DEDVP;Amazonas;Female;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);69.2;4872.35;No;60+
43;9867-JCZSP;Vaupés;Female;0;Yes;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.75;418.25;No;jun-18
44;4671-VJLCL;Bogotá;Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);79.85;4861.45;No;60+
45;4080-IIARD;Boyacá;Female;0;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;76.2;981.45;No;jun-18
46;3714-NTNFO;Valle del Cauca;Female;0;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84.5;3906.7;No;42-60
47;5948-UJZLF;Atlántico;Male;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;49.25;97;No;1-jun
48;7760-OYPDY;Huila;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80.65;144.15;Yes;1-jun
49;7639-LIAYI;Atlántico;Male;0;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);79.75;4217.8;No;42-60
50;2954-PIBKO;Atlántico;Female;0;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);64.15;4254.1;No;60+
51;8012-SOUDQ;Valle del Cauca;Female;1;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;90.25;3838.75;No;42-60
52;9420-LOJKX;Valle del Cauca;Female;0;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.1;1426.4;Yes;jun-18
53;6575-SUVOI;Atlántico;Female;1;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);69.5;1752.65;No;18-42
54;7495-OOKFY;Santander;Female;1;Yes;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);80.65;633.3;Yes;jun-18
55;4667-QONEA;Valle del Cauca;Female;1;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);74.85;4456.35;No;42-60
56;1658-BYGOY;Santander;Male;1;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95.45;1752.55;Yes;jun-18
57;8769-KKTPH;Bogotá;Female;0;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);99.65;6311.2;No;60+
58;5067-XJQFU;Valle del Cauca;Male;1;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;108.45;7076.35;No;60+
59;3957-SQXML;Vichada;Female;0;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24.95;894.3;No;18-42
60;5954-BDFSG;Atlántico;Female;0;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);107.5;7853.7;No;60+
61;0434-CSFON;Santander;Female;0;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100.5;4707.1;No;42-60
62;1215-FIGMP;Boyacá;Male;0;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89.9;5450.7;No;42-60
63;0526-SXDJP;Santander;Male;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);42.1;2962;No;60+
64;0557-ASKVU;Bogotá;Female;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);54.4;957.1;No;jun-18
65;5698-BQJOH;Valle del Cauca;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;94.4;857.25;Yes;jun-18
66;5122-CYFXA;Boyacá;Female;0;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;75.3;244.1;No;1-jun
67;8627-ZYGSZ;Boyacá;Male;0;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;78.9;3650.35;No;42-60
68;3410-YOQBQ;Vichada;Female;0;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;79.2;2497.2;No;18-42
69;3170-NMYVV;Vichada;Female;0;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.15;930.9;No;42-60
70;7410-OIEDU;Valle del Cauca;Male;0;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;79.85;887.35;No;jun-18
71;2273-QCKXA;Vichada;Male;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;49.05;49.05;No;<1
72;0731-EBJQB;Vaupés;Female;0;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;20.4;1090.65;No;42-60
73;1891-QRQSA;Bogotá;Male;1;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);111.6;7099;No;60+
74;8028-PNXHQ;Vichada;Male;0;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24.25;1424.6;No;60+
75;5630-AHZIL;Bogotá;Female;0;No;Yes;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);64.5;177.4;No;1-jun
76;2673-CXQEU;Valle del Cauca;Female;1;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;110.5;6139.5;No;42-60
77;6416-JNVRK;Bogotá;Female;0;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);55.65;2688.85;No;42-60
78;5590-ZSKRV;Bogotá;Female;0;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;54.65;482.25;No;jun-18
79;0191-ZHSKZ;Huila;Male;1;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;74.75;2111.3;No;18-42
80;3887-PBQAO;Amazonas;Female;0;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);25.9;1216.6;No;42-60
81;5919-TMRGD;Atlántico;Female;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79.35;79.35;Yes;<1
82;8108-UXRQN;Antioquia;Female;0;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;50.55;565.35;No;jun-18
83;9191-MYQKX;Atlántico;Female;0;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75.15;496.9;Yes;jun-18
84;9919-YLNNG;Antioquia;Female;0;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103.8;4327.5;No;18-42
85;0318-ZOPWS;Vichada;Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20.15;973.35;No;42-60
86;4445-ZJNMU;Boyacá;Male;0;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.3;918.75;No;jun-18
87;4808-YNLEU;Amazonas;Female;0;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);62.15;2215.45;No;18-42
88;1862-QRWPE;Amazonas;Female;0;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.65;1057;No;42-60
89;2796-NNUFI;Vichada;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.95;927.1;No;42-60
90;3016-KSVCP;Bogotá;Male;0;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;33.75;1009.25;No;18-42
91;4767-HZZHQ;Antioquia;Male;0;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);82.05;2570.2;No;18-42
92;2424-WVHPL;Antioquia;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;74.7;74.7;No;<1
93;7233-PAHHL;Valle del Cauca;Male;0;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84;5714.25;No;60+
94;6067-NGCEU;Huila;Female;0;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);111.05;7107;No;60+
95;9848-JQJTX;Atlántico;Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);100.9;7459.05;No;60+
96;8637-XJIVR;Santander;Female;0;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78.95;927.35;Yes;jun-18
97;9803-FTJCG;Boyacá;Male;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);66.85;4748.7;No;60+
98;0278-YXOOG;Guainía;Male;0;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21.05;113.85;Yes;1-jun
99;3212-KXOCR;Vichada;Male;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);21;1107.2;No;42-60
100;4598-XLKNJ;Bogotá;Female;1;Yes;No;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98.5;2514.5;Yes;18-42
101;6380-ARCEH;Vichada;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.2;20.2;No;<1
102;3679-XASPY;Vichada;Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19.45;19.45;No;<1
103;7123-WQUHX;Boyacá;Male;0;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);95;3605.6;No;18-42
104;5386-THSLQ;Amazonas;Female;1;Yes;No;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);45.55;3027.25;No;60+
105;3192-NQECA;Huila;Male;0;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110;7611.85;Yes;60+
106;6180-YBIQI;Bogotá;Male;0;No;No;5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24.3;100.2;No;1-jun
107;6728-DKUCO;Atlántico;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;104.15;7303.05;No;60+
108;9750-BOOHV;Boyacá;Female;0;No;No;32;No;No phone service;DSL;Yes;No;No;No;No;No;One year;No;Mailed check;30.15;927.65;No;18-42
109;8597-CWYHH;Antioquia;Male;0;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check;94.35;3921.3;No;42-60
110;2848-YXSMW;Vichada;Male;0;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19.4;1363.25;No;60+
111;0486-HECZI;Atlántico;Male;0;Yes;No;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;96.75;5238.9;Yes;42-60
112;4549-ZDQYY;Bogotá;Female;0;No;No;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic);57.95;3042.25;No;42-60
113;5712-AHQNN;Boyacá;Female;0;No;No;43;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;91.65;3954.1;No;42-60
114;4846-WHAFZ;Valle del Cauca;Female;1;Yes;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76.5;2868.15;Yes;18-42
115;5256-SKJGO;Huila;Female;0;Yes;Yes;64;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;54.6;3423.5;No;60+
116;3071-VBYPO;Valle del Cauca;Male;0;Yes;Yes;3;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;89.85;248.4;No;1-jun
117;9560-BBZXK;Huila;Female;0;No;No;36;No;No phone service;DSL;Yes;No;No;No;No;No;Two year;No;Bank transfer (automatic);31.05;1126.35;No;18-42
118;5299-RULOA;Antioquia;Female;0;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;100.25;1064.65;Yes;jun-18
119;8402-OOOHJ;Vichada;Female;0;No;No;41;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.65;835.15;No;18-42
120;9445-ZUEQE;Santander;Male;0;Yes;Yes;27;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);85.2;2151.6;No;18-42
121;1091-SOZGA;Boyacá;Female;0;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);99.8;5515.45;No;42-60
122;2928-HLDBA;Guainía;Female;0;No;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.7;112.75;No;1-jun
123;0404-SWRVG;Bogotá;Male;0;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74.4;229.55;Yes;1-jun
124;6497-TILVL;Amazonas;Female;0;Yes;Yes;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;50.7;350.35;No;jun-18
125;7219-TLZHO;Amazonas;Female;0;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.85;62.9;No;1-jun
126;4622-YNKIJ;Boyacá;Male;0;No;No;33;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Two year;Yes;Electronic check;88.95;3027.65;No;18-42
127;4412-YLTKF;Boyacá;Female;1;No;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;78.05;2135.5;Yes;18-42
128;6734-PSBAW;Amazonas;Male;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);23.55;1723.95;No;60+
129;3930-ZGWVE;Vichada;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.75;19.75;No;<1
130;2639-UGMAZ;Santander;Male;1;No;No;71;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;56.45;3985.35;No;60+
131;2876-GZYZC;Atlántico;Female;0;No;No;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85.95;1215.65;No;jun-18
132;6207-WIOLX;Valle del Cauca;Female;0;Yes;Yes;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);58.6;1502.65;Yes;18-42
133;8587-XYZSF;Atlántico;Male;0;No;No;67;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);50.55;3260.1;No;60+
134;3091-FYHKI;Amazonas;Male;0;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;35.45;35.45;Yes;<1
135;2372-HWUHI;Huila;Male;0;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44.35;81.25;Yes;1-jun
136;7799-LGRDP;Vichada;Female;0;No;No;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);25.7;1188.2;No;42-60
137;7850-VWJUU;Bogotá;Female;0;No;No;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75;1778.5;No;18-42
138;3774-VBNXY;Guainía;Female;0;Yes;Yes;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.2;1277.75;No;60+
139;6217-KDYWC;Guainía;Male;0;No;Yes;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.6;1170.55;No;42-60
140;0390-DCFDQ;Huila;Female;1;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.45;70.45;Yes;<1
141;3146-MSEGF;Atlántico;Female;1;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);88.05;6425.65;No;60+
142;4080-OGPJL;Atlántico;Female;0;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;71.15;563.65;Yes;jun-18
143;1095-WGNGG;Valle del Cauca;Female;0;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);101.05;5971.25;No;60+
144;2636-SJDOU;Huila;Male;0;No;No;64;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;One year;Yes;Credit card (automatic);84.3;5289.05;No;60+
145;1131-QQZEB;Guainía;Male;1;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);23.95;1756.2;No;60+
146;5716-EZXZN;Boyacá;Female;0;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);99.05;6416.7;No;60+
147;6837-BJYDQ;Amazonas;Male;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.6;61.35;No;1-jun
